#id_node              x              y              z
1            -50.000000     -50.000000     -50.000000
2            -50.000000     -40.000000     -50.000000
3            -50.000000     -45.000000     -50.000000
4            -46.339746     -46.339746     -50.000000
5            -40.000000     -50.000000     -50.000000
6            -45.000000     -50.000000     -50.000000
7            -50.000000     -35.000000     -50.000000
8            -35.000000     -50.000000     -50.000000
9            -50.000000     -46.339746     -46.339746
10           -46.339746     -50.000000     -46.339746
11           -50.000000     -50.000000     -45.000000
12           -50.000000     -50.000000     -40.000000
13           -30.000000     -50.000000     -50.000000
14           -50.000000     -25.000000     -50.000000
15           -50.000000     -42.306624     -45.781518
16           -50.000000     -37.462399     -45.691582
17           -45.781518     -42.306624     -50.000000
18           -45.694165     -37.480327     -50.000000
19           -37.467771     -50.000000     -45.688481
20           -37.354785     -46.670982     -50.000000
21           -45.284895     -44.430556     -45.284895
22           -41.864915     -45.389808     -50.000000
23           -42.306624     -50.000000     -45.781518
24           -50.000000     -32.500000     -45.669873
25           -50.000000     -34.988362     -41.346465
26           -50.000000     -30.000000     -50.000000
27           -45.669873     -32.500000     -50.000000
28           -41.360567     -39.983138     -50.000000
29           -32.500000     -50.000000     -45.669873
30           -27.737665     -46.743199     -50.000000
31           -37.072572     -42.448510     -50.000000
32           -37.009619     -37.500000     -50.000000
33           -32.546010     -45.557285     -50.000000
34           -32.698015     -40.259731     -50.000000
35           -25.000000     -50.000000     -50.000000
36           -20.000000     -50.000000     -50.000000
37           -50.000000     -15.000000     -50.000000
38           -50.000000     -20.000000     -50.000000
39           -27.961000     -42.802981     -50.000000
40           -50.000000     -50.000000     -35.000000
41           -50.000000     -50.000000     -30.000000
42           -50.000000     -45.394968     -41.855605
43           -45.394201     -50.000000     -41.856048
44           -50.000000     -46.650635     -37.500000
45           -46.660959     -50.000000     -37.443340
46           -50.000000     -39.967771     -41.358354
47           -50.000000     -42.500000     -37.009619
48           -50.000000     -37.500000     -37.009619
49           -27.499983     -50.000000     -45.669863
50           -23.181313     -45.355731     -50.000000
51           -45.675676     -22.498735     -50.000000
52           -50.000000     -27.500000     -45.669873
53           -45.666608     -27.507234     -50.000000
54           -50.000000     -22.500000     -45.669873
55           -44.148902     -36.726827     -44.152926
56           -41.353029     -35.092203     -50.000000
57           -50.000000     -30.000000     -41.339746
58           -50.000000     -27.500000     -37.009619
59           -34.987317     -50.000000     -41.340899
60           -29.997584     -50.000000     -41.339389
61           -32.500164     -50.000000     -37.002907
62           -39.962399     -50.000000     -41.361455
63           -37.493733     -50.000000     -36.976223
64           -42.500000     -50.000000     -37.009619
65           -36.533221     -44.412354     -43.340290
66           -42.028991     -42.029890     -42.025166
67           -50.000000     -32.500000     -37.009619
68           -45.362730     -34.289159     -38.865349
69           -45.311291     -30.000000     -45.306852
70           -41.285996     -30.058230     -50.000000
71           -37.990431     -36.597259     -43.660862
72           -37.143069     -32.994987     -50.000000
73           -33.084322     -35.701187     -50.000000
74           -27.448035     -44.527824     -44.750827
75           -33.056718     -37.944614     -45.164340
76           -31.238970     -41.701041     -41.847356
77           -33.737261     -31.458548     -50.000000
78           -31.861382     -28.261959     -50.000000
79           -29.944569     -32.470403     -50.000000
80           -28.143614     -37.593976     -50.000000
81           -15.000000     -50.000000     -50.000000
82           -10.000000     -50.000000     -50.000000
83           -50.000000     -10.000000     -50.000000
84           -50.000000      -5.000000     -50.000000
85           -41.373904     -24.985177     -50.000000
86           -36.652961     -27.864204     -50.000000
87           -50.000000     -25.000000     -41.339746
88           -17.500000     -45.669873     -50.000000
89           -22.500000     -50.000000     -45.669873
90           -17.500000     -50.000000     -45.669873
91            -5.000000     -50.000000     -50.000000
92            15.000000     -50.000000     -50.000000
93           -45.669873     -17.500000     -50.000000
94           -45.669873     -12.500000     -50.000000
95           -50.000000     -12.500000     -45.669873
96           -50.000000     -17.500000     -45.669873
97           -50.000000     -20.000000     -41.339746
98           -50.000000     -15.000000     -41.339746
99           -45.093578     -19.799874     -45.093578
100          -41.343672     -20.000000     -50.000000
101          -41.363305     -15.000000     -50.000000
102          -24.308192     -40.940331     -50.000000
103          -15.000525     -41.340257     -50.000000
104          -20.000000     -41.339746     -50.000000
105          -22.500000     -37.009619     -50.000000
106          -50.000000     -45.556738     -32.554947
107          -45.557285     -50.000000     -32.546010
108          -46.704150     -50.000000     -27.696982
109          -50.000000     -46.687329     -27.720877
110          -50.000000     -50.000000     -25.000000
111          -50.000000     -35.000000     -32.679492
112          -50.000000     -50.000000     -20.000000
113          -50.000000     -50.000000     -15.000000
114          -44.408891     -44.408891     -35.063253
115          -43.587420     -38.296833     -35.876050
116          -50.000000     -40.126239     -32.658734
117          -40.150404     -50.000000     -32.577471
118          -42.664190     -50.000000     -27.874186
119          -50.000000     -42.598628     -27.922080
120          -50.000000     -37.536629     -28.267831
121          -37.653481     -50.000000     -28.213781
122          -50.000000     -50.000000       5.000000
123          -50.000000     -50.000000      -0.000000
124          -32.436945     -50.000000     -28.295325
125          -24.999896     -50.000000     -41.339686
126          -19.999888     -50.000000     -41.339681
127          -22.499891     -42.967071     -42.783099
128          -22.499487     -50.000000     -37.009323
129          -27.498310     -50.000000     -37.006395
130          -24.997363     -50.000000     -32.677970
131          -22.500000     -50.000000     -28.349365
132          -50.000000     -25.000000     -32.679492
133          -50.000000     -30.000000     -32.679492
134          -50.000000     -22.500000     -37.009619
135          -43.117724     -24.474861     -43.109893
136          -41.739488     -31.679744     -41.731037
137          -43.969134     -27.793570     -37.635271
138          -32.690986     -44.693976     -37.657718
139          -26.788624     -44.345091     -38.839692
140          -29.993114     -50.000000     -32.662027
141          -35.032636     -50.000000     -32.622281
142          -37.353601     -43.589293     -35.278899
143          -36.189202     -45.373515     -30.524667
144          -37.258683     -37.259274     -37.258683
145          -42.384828     -32.200126     -33.772473
146          -40.024303     -36.605876     -32.583418
147          -36.788504     -31.952916     -39.070963
148          -29.769698     -24.178781     -50.000000
149          -36.404917     -28.314585     -43.476007
150          -33.848144     -24.843733     -50.000000
151          -37.210638     -22.411061     -50.000000
152          -27.467149     -28.368332     -50.000000
153          -32.483527     -33.437162     -42.376571
154          -29.730489     -37.097853     -39.764164
155          -26.110564     -35.347386     -43.779328
156          -29.686521     -29.234503     -44.889020
157          -25.113488     -32.789964     -50.000000
158          -12.500000     -37.009619     -50.000000
159          -10.000000     -41.339746     -50.000000
160          -12.499999     -50.000000     -45.669873
161          -12.500000     -45.669873     -50.000000
162           -7.500000     -45.669873     -50.000000
163           -7.500000     -50.000000     -45.669873
164           10.000000     -50.000000     -50.000000
165            5.000000     -50.000000     -50.000000
166           -0.000000     -50.000000     -50.000000
167          -50.000000      50.000000     -50.000000
168          -50.000000      25.000000     -50.000000
169          -50.000000       5.000000     -50.000000
170          -50.000000      -7.500000     -45.669873
171          -45.718969      -7.500000     -50.000000
172          -50.000000       0.000000     -50.000000
173          -50.000000      -2.500000     -45.669873
174          -45.669873      -2.500000     -50.000000
175          -50.000000      10.000000     -50.000000
176          -50.000000      15.000000     -50.000000
177          -32.751023     -19.826299     -50.000000
178          -38.417408     -21.504151     -44.476654
179          -37.222646     -17.433522     -50.000000
180          -41.634322     -10.000000     -50.000000
181          -37.118318     -11.868580     -50.000000
182          -50.000000     -20.000000     -32.679492
183          -50.000000     -22.500000     -28.349365
184          -50.000000     -10.000000     -41.339746
185          -44.574716     -20.533563     -37.496240
186          -50.000000     -17.500000     -37.009619
187          -50.000000     -12.500000     -37.009619
188          -50.000000     -15.000000     -32.679492
189          -50.000000      40.000000     -50.000000
190          -50.000000      45.000000     -50.000000
191          -41.778704      -4.993705     -50.000000
192          -38.612159      -7.500000     -50.000000
193          -33.968305     -14.912021     -50.000000
194          -29.808134     -15.299206     -50.000000
195          -32.381950     -11.116318     -50.000000
