#id_node              x              y              z
0            -50.000000     -50.000000     -50.000000
1            -50.000000     -40.000000     -50.000000
2            -50.000000     -45.000000     -50.000000
3            -46.339746     -46.339746     -50.000000
4            -40.000000     -50.000000     -50.000000
5            -45.000000     -50.000000     -50.000000
6            -50.000000     -35.000000     -50.000000
7            -35.000000     -50.000000     -50.000000
8            -50.000000     -46.339746     -46.339746
9            -46.339746     -50.000000     -46.339746
10           -50.000000     -50.000000     -45.000000
11           -50.000000     -50.000000     -40.000000
12           -30.000000     -50.000000     -50.000000
13           -50.000000     -25.000000     -50.000000
14           -50.000000     -42.306624     -45.781518
15           -50.000000     -37.462399     -45.691582
16           -45.781518     -42.306624     -50.000000
17           -45.694165     -37.480327     -50.000000
18           -37.467771     -50.000000     -45.688481
19           -37.354785     -46.670982     -50.000000
20           -45.284895     -44.430556     -45.284895
21           -41.864915     -45.389808     -50.000000
22           -42.306624     -50.000000     -45.781518
23           -50.000000     -32.500000     -45.669873
24           -50.000000     -34.988362     -41.346465
25           -50.000000     -30.000000     -50.000000
26           -45.669873     -32.500000     -50.000000
27           -41.360567     -39.983138     -50.000000
28           -32.500000     -50.000000     -45.669873
29           -27.737665     -46.743199     -50.000000
30           -37.072572     -42.448510     -50.000000
31           -37.009619     -37.500000     -50.000000
32           -32.546010     -45.557285     -50.000000
33           -32.698015     -40.259731     -50.000000
34           -25.000000     -50.000000     -50.000000
35           -20.000000     -50.000000     -50.000000
36           -50.000000     -15.000000     -50.000000
37           -50.000000     -20.000000     -50.000000
38           -27.961000     -42.802981     -50.000000
39           -50.000000     -50.000000     -35.000000
40           -50.000000     -50.000000     -30.000000
41           -50.000000     -45.394968     -41.855605
42           -45.394201     -50.000000     -41.856048
43           -50.000000     -46.650635     -37.500000
44           -46.660959     -50.000000     -37.443340
45           -50.000000     -39.967771     -41.358354
46           -50.000000     -42.500000     -37.009619
47           -50.000000     -37.500000     -37.009619
48           -27.499983     -50.000000     -45.669863
49           -23.181313     -45.355731     -50.000000
50           -45.675676     -22.498735     -50.000000
51           -50.000000     -27.500000     -45.669873
52           -45.666608     -27.507234     -50.000000
53           -50.000000     -22.500000     -45.669873
54           -44.148902     -36.726827     -44.152926
55           -41.353029     -35.092203     -50.000000
56           -50.000000     -30.000000     -41.339746
57           -50.000000     -27.500000     -37.009619
58           -34.987317     -50.000000     -41.340899
59           -29.997584     -50.000000     -41.339389
60           -32.500164     -50.000000     -37.002907
61           -39.962399     -50.000000     -41.361455
62           -37.493733     -50.000000     -36.976223
63           -42.500000     -50.000000     -37.009619
64           -36.533221     -44.412354     -43.340290
65           -42.028991     -42.029890     -42.025166
66           -50.000000     -32.500000     -37.009619
67           -45.362730     -34.289159     -38.865349
